Cell_name,cell_ref,Cell_name_info,,
Achlys,1,Achlys,,
Aether,2,Aether,, 
Aion,3,Aion,, 
Ananke,4,Ananke,, 
Chaos,5,Chaos,, 
Chronos,6,Chronos,, 
Erebus,7,Erebus,, 
Eros,8,Eros,, 
Gaia,9,Gaia (Gaea),, 
Hemera,10,Hemera,, 
Hypnos,11,Hypnos,, 
Nemesis,12,Nemesis,, 
The Nesoi,13,The Nesoi,, 
Nyx,14,Nyx,, 
The Ourea,15,The Ourea,, 
Phanes,16,Phanes,, 
Pontus,17,Pontus,, 
Tartarus,18,Tartarus,, 
Thalassa,19,Thalassa,, 
Thanatos,20,Thanatos,, 
Uranus,21,Uranus,, 
Coeus,22,Coeus,, 
Crius,23,Crius,, 
Cronus,24,Cronus,, 
Hyperion,25,Hyperion,, 
Iapetus,26,Iapetus,, 
Mnemosyne,27,Mnemosyne,, 
Oceanus,28,Oceanus,, 
Phoebe,29,Phoebe,, 
Rhea,30,Rhea,, 
Tethys,31,Tethys,, 
Theia,32,Theia,, 
Themis,33,Themis,, 
Asteria,34,Asteria,, 
Astraeus,35,Astraeus,, 
Atlas,36,Atlas,, 
Dione,37,Dione,, 
Helios,38,Helios,, 
Selene,39,Selene,, 
Eos,40,Eos,, 
Epimetheus,41,Epimetheus,, 
Lelantos,42,Lelantos,, 
Leto,43,Leto,, 
Menoetius,44,Menoetius,, 
Metis,45,Metis,, 
Pallas,46,Pallas,, 
Perses,47,Perses,, 
Prometheus,48,Prometheus,, 
Styx,49,Styx,, 
Carmentis,50,Carmentis,, 
Ceres,51,Ceres,, 
Falacer,52,Falacer,, 
Flora,53,Flora,, 
Furrina,54,Furrina,, 
Palatua,55,Palatua,, 
Pomona,56,Pomona,, 
Portunus,57,Portunus,, 
Vulcan,58,Vulcan,, 
Volturnus,59,Volturnus,, 
Janus,60,Janus,, 
Jupiter,61,Jupiter,, 
Saturn,62,Saturn,, 
Genius,63,Genius,, 
Mercury,64,Mercury,, 
Apollo,65,Apollo,, 
Mars,66,Mars,, 
Neptune,67,Neptune,, 
Sol,68,Sol,, 
Orcus,69,Orcus,, 
Liber,70,Liber,, 
Bacchus,71,Bacchus,, 
Tellus,72,Tellus,,
Juno,73,Juno,, 
Luna,74,Luna,, 
Diana,75,Diana,, 
Minerva,76,Minerva,, 
Venus,77,Venus,, 
Vesta,78,Vesta,, 
Feronia,79,Feronia,, 
Minerva,80,Minerva,, 
Novensides,81,Novensides,, 
Pales,82,Pales,, 
Salus,83,Salus,, 
Fortuna,84,Fortuna,, 
Fons,85,Fons,, 
Fides[10],86,Fides[10],, 
Ops,87,Ops,, 
Vediovis,88,Vediovis,, 
Luna,89,Luna,, 
Summanus,90,Summanus,, 
Larunda,91,Larunda,, 
Terminus,92,Terminus,, 
Quirinus,93,Quirinus,, 
Vortumnus,94,Vortumnus,, 
Lares,95,Lares,, 
Lucina,96,Lucina,, 
Haua,97,Haua,,
Pariacaca,98,Pariacaca,,
Viracocha,99,Viracocha,,
Itzamna,100,Itzamna,,
